Município;Abacate;Abacaxi*;Açaí;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Azeitona;Banana (cacho);Batata-doce;Batata-inglesa;Borracha (látex coagulado);Borracha (látex líquido);Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Cana-de-açúcar;Cana para forragem;Caqui;Castanha de caju;Cebola;Centeio (em grão);Cevada (em grão);Chá-da-índia (folha verde);Coco-da-baía*;Dendê (cacho de coco);Erva-mate (folha verde);Ervilha (em grão);Fava (em grão);Feijão (em grão);Figo;Fumo (em folha);Girassol (em grão);Goiaba;Guaraná (semente);Juta (fibra);Laranja;Limão;Linho (semente);Maçã;Malva (fibra);Mamão;Mamona (baga);Mandioca;Manga;Maracujá;Marmelo;Melancia;Melão;Milho (em grão);Noz (fruto seco);Palmito;Pera;Pêssego;Pimenta-do-reino;Rami (fibra);Sisal ou agave (fibra);Soja (em grão);Sorgo (em grão);Tangerina;Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Iguatemi (MS);-;-;-;...;-;-;-;-;-;-;-;125;-;-;-;...;-;-;-;-;...;60774;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39240;-;-;-;1650;140;132768;-;-;-;-;-;-;-;360799;-;-;-;-;-;-;-;-
Inocência (MS);-;-;-;...;-;-;-;-;-;-;-;434;-;-;4215;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;147;-;-;-;-;-;-;2385;-;-;-;-;-;666;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Itaporã (MS);-;45;-;...;-;-;-;-;13627;-;-;1462;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;408;-;-;-;-;-;-;-;-;-;450;-;-;-;-;-;287323;-;-;-;-;-;-;-;726985;-;-;-;37;-;-;-;-
Itaquiraí (MS);-;-;-;...;-;-;-;-;-;-;-;1092;-;-;-;...;-;-;-;-;...;90303;...;-;-;-;-;-;-;-;-;-;-;-;375;-;-;-;-;-;-;-;4;-;-;-;-;-;60654;-;-;-;250;-;139936;-;24;-;-;-;-;-;511656;-;-;-;858;-;-;136;-
Ivinhema (MS);-;40;-;...;-;-;-;2200;-;-;-;-;74;-;-;...;-;2154;2154;-;...;417929;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;600;-;-;-;-;-;-;-;48;-;27934;-;-;-;145;-;20951;-;-;-;-;-;-;-;219199;-;-;-;-;-;-;2460;-
Japorã (MS);-;156;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;28;28;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26670;-;-;-;304;-;8037;-;-;-;-;-;-;-;20974;-;-;-;-;-;-;-;-
Jaraguari (MS);-;936;-;...;-;-;-;-;-;-;-;406;536;-;2078;...;-;-;-;-;...;94;...;-;-;-;-;-;-;-;-;-;-;-;264;-;-;-;-;-;-;1803;198;-;-;-;2447;-;17640;-;535;-;849;-;26578;-;-;-;-;-;-;-;277648;5175;556;-;-;-;-;-;-
Jardim (MS);-;62;-;...;-;-;-;-;-;-;-;158;69;-;-;...;-;-;-;-;...;206;...;-;-;-;-;-;-;-;-;-;-;-;90;-;-;-;-;-;-;40;26;-;-;-;-;-;1958;-;45;-;76;39;30163;-;-;-;-;-;-;-;170093;-;-;56;-;-;-;-;-
Jateí (MS);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;181216;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10447;-;-;-;840;-;14595;-;-;-;-;-;-;-;217500;-;-;95;-;-;-;21;-
Juti (MS);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;177862;...;-;-;-;-;-;-;-;-;-;-;-;85;-;-;-;-;-;-;-;-;-;-;-;-;-;11417;-;-;-;-;-;49412;-;-;-;-;-;-;-;192319;-;-;-;121;-;-;33;-
Ladário (MS);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Laguna Carapã (MS);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;26862;...;-;-;-;-;-;-;-;-;125;-;-;65;-;-;-;-;-;-;-;-;-;-;-;-;-;1984;-;-;-;-;-;288576;-;-;-;-;-;-;-;1132381;-;-;-;4100;-;-;-;-
Maracaju (MS);-;-;-;...;-;-;-;-;-;3240;-;-;-;-;-;...;-;-;-;-;...;117733;...;-;-;-;-;-;-;-;-;-;-;-;857;-;-;-;-;-;-;-;-;-;-;-;-;-;3427;-;-;-;-;-;1072672;-;-;-;-;-;-;-;2779866;-;-;-;170;-;-;-;-
Miranda (MS);-;-;-;...;-;-;-;-;23227;-;-;92;-;-;-;...;-;-;-;-;...;108;...;-;-;-;-;-;-;-;-;-;-;-;126;-;-;-;-;-;-;-;-;-;-;-;-;-;2554;-;-;-;286;-;3643;-;-;-;-;-;-;-;67439;-;-;-;-;-;-;-;-
Mundo Novo (MS);-;21;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;7;7;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9928;-;-;-;-;-;15228;-;-;-;-;-;-;-;62496;-;-;-;35;-;-;10;-
Naviraí (MS);-;180;-;...;-;-;-;-;-;642;-;-;-;-;-;...;-;-;-;-;...;126655;...;-;-;-;-;-;-;-;-;-;-;-;3700;-;-;-;-;-;-;-;-;-;-;-;-;-;33424;-;-;-;2860;350;202753;-;-;-;-;-;-;-;871200;127;-;-;146;-;-;-;-
Nioaque (MS);-;38;-;...;-;-;-;-;103;-;-;3232;24;-;-;...;-;-;-;-;...;20;...;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;2689;-;-;-;-;-;15132;-;-;-;-;-;-;-;64072;-;-;-;-;-;-;-;-
Nova Alvorada do Sul (MS);-;115;-;...;-;-;-;-;-;-;-;-;-;-;1365;...;-;-;-;-;...;623310;...;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1216;-;54;-;-;-;94345;-;-;-;-;-;-;-;464807;-;-;-;-;-;-;591;-
Nova Andradina (MS);-;40;-;...;-;-;-;2250;-;-;-;16;-;-;-;...;-;-;-;-;...;464716;...;-;-;-;-;-;-;-;-;-;-;-;1018;-;-;-;-;-;-;30;64;-;-;-;-;-;22100;-;-;-;60;-;7717;-;-;-;-;-;-;-;373791;-;-;-;653;-;-;126;-
Novo Horizonte do Sul (MS);-;40;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;102;102;-;...;78938;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12349;-;-;-;-;-;3386;-;-;-;-;-;-;-;84000;-;-;-;-;-;-;270;-
Paraíso das Águas (MS);-;-;-;...;-;6759;-;-;-;-;-;-;-;-;15746;...;-;-;-;-;...;188452;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1209;-;-;-;-;-;49081;-;-;-;-;-;-;-;652800;7200;-;-;-;-;-;-;-
Paranaíba (MS);-;1972;-;...;-;-;-;2470;-;-;-;3978;68;-;8415;...;-;-;-;-;...;75893;...;-;-;-;-;-;-;-;-;-;-;-;474;-;-;-;-;-;-;-;-;-;-;-;597;-;12872;-;-;-;60;-;19887;-;-;-;-;-;-;-;14324;400;-;-;-;-;-;-;-
Paranhos (MS);-;140;-;...;-;-;-;-;-;-;-;320;276;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;232;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3209;-;-;-;150;-;24360;-;-;-;-;-;-;-;153090;-;-;-;-;-;-;-;-
Pedro Gomes (MS);-;-;-;...;-;-;-;-;-;-;-;789;-;-;2276;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2100;-;-;-;-;-;21469;-;-;-;-;-;-;-;53240;-;-;-;-;-;-;-;-
Ponta Porã (MS);-;70;-;...;-;-;-;-;6088;5280;-;300;285;-;-;...;-;35;35;-;...;213350;...;-;-;-;-;-;-;-;-;240;-;-;579;-;-;-;-;-;-;24;179;-;-;-;-;-;4016;-;-;-;66;-;221904;-;-;-;-;-;-;-;2790150;2520;-;312;1430;-;-;-;-
Porto Murtinho (MS);-;-;-;...;-;-;-;-;-;-;-;56;13;-;-;...;-;-;-;-;...;23;...;-;-;-;-;-;-;-;-;-;-;-;295;-;-;-;-;-;-;-;-;-;-;-;-;-;360;-;-;-;54;51;6384;-;-;-;-;-;-;-;62244;-;-;40;-;-;-;-;-
Ribas do Rio Pardo (MS);-;60;-;...;-;-;-;-;-;146;-;51;-;-;424;...;-;-;-;-;...;18;...;-;-;-;-;-;-;-;-;-;-;-;3893;-;-;-;-;-;-;-;45;-;-;-;-;-;1620;-;72;-;405;-;12786;-;-;-;-;-;-;-;215815;-;-;-;656;-;-;6;-
Rio Brilhante (MS);-;-;-;...;-;-;-;-;28504;864;-;-;-;-;-;...;-;-;-;-;...;735205;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2074;-;-;-;-;-;359786;-;-;-;-;-;-;-;1063365;-;-;-;-;-;-;-;-
Rio Negro (MS);-;29;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1500;-;1825;-;-;-;9021;-;-;-;-;-;-;-;18476;-;-;-;-;-;-;-;-
Rio Verde de Mato Grosso (MS);-;-;-;...;-;-;-;-;-;-;-;720;-;-;98;...;-;-;-;-;...;-;...;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;6000;-;-;-;-;-;23010;-;-;-;-;-;-;-;106495;-;-;-;-;-;-;-;-
Rochedo (MS);-;440;-;...;-;-;-;-;-;-;-;77;-;-;-;...;-;-;-;-;...;131;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;867;-;-;-;-;-;8714;-;-;-;-;-;-;-;55325;-;-;-;-;-;-;-;-
Santa Rita do Pardo (MS);-;-;-;...;-;-;-;1132;-;-;-;-;-;-;1321;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3258;-;-;-;2516;-;1045;-;-;-;-;-;-;-;11536;293;-;-;-;-;-;434;-
São Gabriel do Oeste (MS);-;-;-;...;-;-;-;-;-;-;-;100;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;2520;-;-;-;-;-;-;-;-;-;-;-;-;-;900;-;-;-;500;-;487163;-;-;-;-;-;-;-;1257092;9122;-;-;-;-;-;-;-
Sete Quedas (MS);-;-;-;...;-;-;-;-;-;280;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1572;-;-;-;-;-;49108;-;-;-;-;-;-;-;261117;-;-;-;3840;-;-;-;-
Selvíria (MS);-;-;-;...;-;-;-;-;-;-;-;-;-;-;80;...;-;-;-;-;...;3992;...;-;-;-;-;-;-;-;-;-;-;-;1968;-;-;-;-;-;-;-;237;-;-;-;-;-;482;-;-;-;-;-;412;-;-;-;-;-;-;-;10992;-;-;-;-;-;-;-;-
Sidrolândia (MS);-;2213;-;...;-;-;-;-;2358;1200;-;523;137;-;-;...;-;325;325;-;...;46556;...;-;-;-;-;-;-;-;-;-;-;-;1088;-;-;-;-;-;-;-;247;-;-;-;381;-;8657;-;218;-;1258;-;768961;-;146;-;-;-;-;-;2234400;-;-;57;-;-;-;117;-
Sonora (MS);-;-;-;...;-;-;-;-;-;-;-;-;-;-;229;...;-;-;-;-;...;122168;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;517;-;-;-;300;-;187659;-;-;-;-;-;-;-;294141;-;-;-;-;-;-;-;-
Tacuru (MS);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9185;-;-;-;-;-;18014;-;-;-;-;-;-;-;166023;-;-;-;-;-;-;-;-
Taquarussu (MS);-;-;-;...;-;-;-;104;-;-;-;-;-;-;-;...;-;-;-;-;...;52537;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4163;-;99;-;-;-;597;-;-;-;-;-;-;-;56000;-;-;-;-;-;-;-;-
Terenos (MS);-;143;-;...;-;-;-;100;-;-;-;5120;148;-;916;...;-;-;-;-;...;62;...;-;-;-;-;-;-;342;-;-;-;-;701;-;-;-;-;-;-;110;370;-;-;-;50;-;10707;-;99;-;262;-;24120;-;-;-;-;-;-;-;258478;-;696;375;-;-;-;-;90
Três Lagoas (MS);-;-;-;...;-;-;-;-;-;-;-;-;-;-;2166;...;-;-;-;-;...;-;...;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;5958;-;-;-;-;-;-;1716;-;-;-;-;-;-;-;-;-;-;-;-;-;1953;-;68;-;-;-;-;-;-
Vicentina (MS);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;45695;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3064;-;-;-;140;-;12634;-;-;-;-;-;-;-;74225;-;-;-;-;-;-;-;-
Acorizal (MT);-;168;-;...;-;-;-;-;-;-;-;600;-;-;-;...;-;-;-;-;...;20;...;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;3200;-;-;-;720;341;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Água Boa (MT);-;-;-;...;-;10504;-;-;25719;-;-;-;-;-;1098;...;-;-;-;-;...;-;...;-;-;-;-;-;-;728;-;-;-;-;726;-;-;-;-;-;-;-;-;-;-;-;-;-;6197;-;-;-;-;-;346560;-;-;-;-;-;-;-;1412880;-;-;-;-;-;-;-;-
Alta Floresta (MT);-;360;-;...;-;-;-;-;5458;-;-;584;-;-;-;...;-;804;-;804;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;446;-;104;90;-;-;-;84;-;975;-;365;-;930;-;73162;-;-;-;-;-;-;-;260141;-;-;-;-;-;-;-;-
Alto Araguaia (MT);-;-;-;...;-;22114;-;86;-;-;-;1580;-;-;-;...;-;-;-;-;...;39960;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1148;-;135;-;-;-;80640;-;-;-;-;-;-;-;384388;-;-;-;-;-;-;-;-
Alto Boa Vista (MT);-;-;-;...;-;-;-;-;350;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;504;-;-;-;-;-;89513;-;-;-;-;-;-;-;236607;-;-;-;-;-;-;-;-
Alto Garças (MT);-;-;-;...;-;89806;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;27;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;153;-;-;-;-;-;257475;-;-;-;-;-;-;-;849458;3984;-;-;-;-;-;-;-
Alto Paraguai (MT);-;1750;-;...;-;-;-;-;-;-;-;-;-;-;1170;...;-;-;-;-;...;-;...;-;-;-;-;-;-;216;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3375;-;-;-;-;-;27000;-;-;-;-;-;-;-;58999;-;-;-;-;-;-;-;-
Alto Taquari (MT);-;-;-;...;-;56783;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;266400;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;153;-;-;-;-;-;307680;-;-;-;-;-;-;-;534908;2075;-;-;-;-;-;-;-
Apiacás (MT);-;405;-;...;-;-;-;-;1699;-;-;625;-;-;-;...;-;13;-;13;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;58;-;-;-;-;-;286;-;-;-;58;-;2715;-;-;-;-;-;-;-;5570;-;-;150;-;-;-;-;-
Araguaiana (MT);-;-;-;...;-;-;-;-;-;-;-;-;-;-;272;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;173;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4136;-;-;-;-;-;-;-;32968;-;-;-;-;-;-;-;-
Araguainha (MT);-;350;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;101;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;153;-;108;-;-;-;2160;-;-;-;-;-;-;-;11440;-;-;-;-;-;-;-;-
Araputanga (MT);-;-;-;...;-;-;-;-;-;-;-;203;-;-;-;...;-;-;-;-;...;19;...;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1638;-;-;-;236;-;17160;-;-;-;-;-;-;-;12080;-;-;-;-;-;-;-;-
Arenápolis (MT);-;938;-;...;-;-;-;-;-;-;-;144;-;-;-;...;-;-;-;-;...;6216;...;-;-;-;-;-;-;54;-;-;-;-;-;-;-;168;-;-;-;-;-;-;-;-;-;-;450;-;-;-;-;-;13500;-;-;-;-;-;-;-;30993;-;-;-;-;-;-;-;-
Aripuanã (MT);-;751;-;...;-;-;-;17;-;-;-;4820;-;-;-;...;203;5721;-;5721;...;562;...;-;-;-;-;-;-;19;-;-;-;-;81;-;-;-;-;-;-;147;-;-;-;-;34;-;11606;-;256;-;1313;-;29136;-;99;-;-;-;-;-;25505;-;-;1475;-;-;-;28;-
Barão de Melgaço (MT);-;-;-;...;-;-;-;-;-;-;-;282;54;-;-;...;-;-;-;-;...;40;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1600;-;-;-;200;-;-;-;-;-;-;-;-;-;-;-;320;-;-;-;-;-;-
Barra do Bugres (MT);-;408;-;...;-;-;-;906;2137;-;-;11138;-;-;1412;...;-;-;-;-;...;303119;...;-;-;-;-;-;-;125;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11813;-;-;-;194;-;4324;-;-;-;-;-;-;-;11968;-;-;-;-;-;-;-;-
Barra do Garças (MT);-;-;-;...;-;-;-;-;-;-;-;-;-;-;71;...;-;-;-;-;...;-;...;-;-;-;-;-;-;1036;-;-;-;-;3734;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21420;-;-;-;-;-;-;-;309375;-;-;-;-;-;-;-;137
Bom Jesus do Araguaia (MT);-;-;-;...;-;67275;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;836;-;-;-;-;-;272916;-;-;-;-;-;-;-;897306;273;-;-;-;-;-;-;-
Brasnorte (MT);-;249;-;...;-;138662;-;-;23682;-;-;174;98;-;-;...;164;-;-;-;...;87;...;-;-;-;-;-;-;-;-;-;-;-;30631;-;-;10500;-;-;-;229;55;-;-;-;147;-;3261;-;88;-;330;35;671076;-;-;-;-;-;-;-;2138382;6720;-;487;-;-;-;-;-
Cáceres (MT);-;455;-;...;-;-;-;-;1;-;-;2439;-;-;-;...;-;-;-;-;...;6600;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;273;687;-;-;-;68;-;2311;-;-;-;1030;306;14614;-;-;-;-;-;-;-;61118;-;-;265;-;-;-;-;-
Campinápolis (MT);-;-;-;...;-;-;-;-;1053;-;-;569;-;-;813;...;-;-;-;-;...;-;...;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8323;-;-;-;-;-;52650;-;-;-;-;-;-;-;204288;-;-;-;-;-;-;-;-
Campo Novo do Parecis (MT);-;542;-;...;-;2226709;-;-;-;-;-;-;97;-;-;...;-;-;-;-;...;232439;...;-;-;-;-;-;-;125;-;-;-;-;58847;-;-;9360;-;-;-;-;-;-;-;-;-;-;977;-;410;-;282;-;1765456;-;-;-;-;-;-;-;3262395;2100;-;-;-;-;-;-;-
Campo Verde (MT);-;744;-;...;-;1473248;-;-;1607;-;-;1103;-;-;255;...;-;-;-;-;...;70;...;-;-;-;-;-;-;140;-;-;-;-;15393;-;-;-;-;-;-;-;365;-;-;-;1080;-;3450;-;1068;-;-;-;675250;-;-;-;-;-;-;-;2253000;2520;80;-;-;-;-;-;-
Campos de Júlio (MT);-;-;-;...;-;1212913;-;-;1310;-;-;-;-;-;-;...;-;-;-;-;...;30712;...;-;-;-;-;-;-;-;-;-;-;-;30655;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1383081;-;-;-;-;-;-;-;1886938;6300;-;-;-;-;-;-;-
Canabrava do Norte (MT);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;76560;-;-;-;-;-;-;-;274856;-;-;-;-;-;-;-;-
Canarana (MT);-;-;-;...;-;213275;-;-;-;-;-;379;-;-;126;...;-;-;-;-;...;-;...;-;-;-;-;-;-;210;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;378;-;872;-;1080;-;2520;850;783673;-;-;-;-;-;-;-;2421900;-;-;420;-;-;-;-;228
Carlinda (MT);-;690;-;...;-;-;-;-;896;-;-;1050;-;-;-;...;28;322;-;322;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;144;-;-;-;-;-;892;-;585;-;935;-;44245;-;-;-;-;-;-;-;109973;-;171;70;-;-;-;-;-
Castanheira (MT);-;195;-;...;-;-;-;-;-;-;-;3181;-;-;-;...;-;67;-;67;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;68;-;-;-;-;-;-;5618;-;-;-;1780;-;427;-;-;-;-;-;-;-;11550;-;-;297;-;-;-;-;-
Chapada dos Guimarães (MT);-;108;-;...;-;128783;-;-;-;-;-;360;-;-;-;...;-;-;-;-;...;54;...;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;750;318;-;-;-;135;-;15750;181;91;-;896;-;161026;-;-;-;-;-;-;-;292284;-;375;219;-;-;-;-;-
Cláudia (MT);-;-;-;...;-;-;-;-;29223;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;15724;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;395888;-;-;-;-;-;-;-;841416;-;-;-;-;-;-;-;-
Cocalinho (MT);-;-;-;...;-;-;-;-;1428;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14280;-;-;-;-;-;-;-;103125;-;-;-;-;-;-;-;-
Colíder (MT);-;681;68;...;-;-;-;-;4500;-;-;359;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;520;180;-;-;-;-;-;1950;-;146;-;481;-;61728;-;-;-;-;-;-;-;168528;-;72;61;-;-;-;-;-
Colniza (MT);-;973;-;...;-;-;-;-;365;-;-;4625;-;-;-;...;1778;30349;-;30349;...;480;...;-;-;-;-;-;-;-;-;-;-;-;2520;-;-;-;-;-;-;377;78;-;-;-;159;-;23463;-;180;-;1434;-;13139;-;-;-;-;7;-;-;-;-;-;160;-;-;-;-;-
Comodoro (MT);-;788;-;...;-;102001;-;-;24960;-;-;1622;-;-;200;...;-;-;-;-;...;62;...;-;-;-;-;-;-;76;-;-;-;-;6445;-;-;-;24;-;-;321;258;-;-;-;-;-;4655;-;180;-;500;-;251946;-;-;-;-;-;-;-;701849;1365;-;-;-;-;-;-;-
Confresa (MT);-;-;-;...;-;-;-;-;-;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2810;-;-;-;-;-;148200;-;-;-;-;-;-;-;532417;-;-;-;-;-;-;-;-
Conquista D'Oeste (MT);-;-;-;...;-;-;-;-;-;-;-;-;-;-;23;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;322;-;-;-;25;-;20624;-;-;-;-;-;-;-;76230;-;-;-;-;-;-;-;-
Cotriguaçu (MT);-;1029;-;...;-;-;-;31;1015;-;-;2200;69;-;-;...;917;5049;-;5049;...;357;...;-;-;-;-;-;-;94;-;-;-;-;95;-;-;-;-;-;-;280;-;-;-;-;-;-;8794;-;95;-;1351;-;5772;-;722;-;-;-;-;-;9140;-;-;95;-;-;-;888;-
Cuiabá (MT);-;2640;-;...;-;-;-;-;-;-;-;1400;-;-;-;...;-;-;-;-;...;338;...;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10800;-;-;-;1200;-;-;-;-;-;-;-;-;-;2940;-;-;-;-;-;-;-;-
Curvelândia (MT);-;551;-;...;-;-;-;-;-;-;-;1350;-;-;-;...;-;-;-;-;...;27259;...;-;-;-;-;-;-;75;-;-;-;-;-;-;-;-;-;-;-;-;99;-;-;-;-;-;1019;-;-;-;357;-;72;-;-;-;-;-;-;-;-;-;314;-;-;-;-;-;-
Denise (MT);-;-;-;...;-;-;-;-;-;-;-;109;169;-;813;...;-;-;-;-;...;249973;...;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;90;-;-;-;-;-;990;-;-;-;201;-;2961;-;-;-;-;-;-;-;40710;-;-;-;-;-;-;-;-
Diamantino (MT);-;1822;-;...;-;1260570;-;77;12188;-;-;1514;92;-;-;...;-;-;-;-;...;26994;...;-;-;-;-;-;-;756;-;-;-;-;19645;-;-;7000;70;-;-;68;80;-;-;-;-;-;6037;-;204;-;867;-;1705197;-;68;-;-;-;-;-;3350755;11200;-;173;-;-;-;-;-
Dom Aquino (MT);-;656;-;...;-;401257;-;-;-;-;-;504;-;-;2040;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;300;-;-;-;-;-;114750;-;-;-;-;-;-;-;333596;-;-;-;-;-;-;-;-
Feliz Natal (MT);-;-;-;...;-;-;-;-;32175;-;-;-;-;-;-;...;-;-;-;-;...;-;...;-;-;-;-;-;-;-;-;-;-;-;2539;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;466632;-;-;-;-;-;-;-;1103267;-;-;-;-;-;-;-;-
